,Intermodal,FTL,Railcar,LTL,Export,Sample
2020-01-01 00:00:00,0.010327841977670412,0.8955223107131984,0.0,0.08633515002493489,0.007367357546444775,0.0004473397377516304
2020-02-01 00:00:00,0.027981993014930293,0.8853205849031277,0.0,0.07899680610245302,0.006407592458301119,0.0005547393452354046
2020-03-01 00:00:00,0.01332700397052379,0.8741908317950833,0.0,0.10046120559215256,0.011100915579393762,4.6212020259792397e-05
2020-04-01 00:00:00,0.01165599594588996,0.8725718366881182,0.0,0.10229138492947965,0.013305037141373321,0.00017574529513881087
2020-05-01 00:00:00,0.0,0.9009030364395763,0.0,0.09263655059144268,0.006312593505454196,0.0001478194635267691
2020-06-01 00:00:00,0.010083039359067972,0.8883392998343224,0.0,0.08817766364499635,0.01296252119215785,3.905277015531259e-05
2020-07-01 00:00:00,0.004413116961106163,0.9066471820705994,0.0,0.0803315104953832,0.008551798352137348,5.639212077399632e-05
2020-08-01 00:00:00,0.01272041499977053,0.8829071956017903,0.0,0.0902770234573762,0.012946946575974514,6.615673111926644e-05
2020-09-01 00:00:00,0.009907815006509738,0.8822066286516228,0.0,0.10527444428795897,0.0008523750805245331,6.941685683319804e-05
2020-10-01 00:00:00,0.0019086214253548224,0.8824831244405053,0.0,0.10241510281375295,0.013038458170803183,0.00015469314958375144
2020-11-01 00:00:00,0.0,0.8840404127299184,0.0,0.10641064078682487,0.009511031279503826,3.7915203752840784e-05
2020-12-01 00:00:00,0.0,0.8783651236960847,0.0,0.10608882353206252,0.014179818479693693,2.624097333399526e-05
2021-01-01 00:00:00,0.004207920413313653,0.9015925927567532,0.0,0.09223129343825737,0.0013763121223320386,0.0001026968488661193
2021-02-01 00:00:00,0.006372991833587521,0.8817090194359912,0.0,0.10039084737081164,0.011476261711225535,5.0879648384069375e-05
2021-03-01 00:00:00,0.0035289073150953803,0.9031332940385373,0.0,0.0869884897364651,0.006110685269619753,3.282018555300729e-05
2021-04-01 00:00:00,0.0020129423738136426,0.9234588899311724,0.0,0.06445431563159888,0.01006012225283733,1.3729810577580485e-05
2021-05-01 00:00:00,0.0024293030059415995,0.9128576228830788,0.0,0.07920638509600743,0.0052862645618875015,0.0001154709716561173
2021-06-01 00:00:00,0.0016353544306500346,0.9025083355154856,0.0,0.08037607281599206,0.015414314627905353,6.592260996710295e-05
2021-07-01 00:00:00,0.0,0.9054822774193267,0.0,0.0869788211507974,0.007219757520337613,0.00023320556566654084
2021-08-01 00:00:00,0.002045106536063497,0.9010592610912105,0.0,0.08842100313621482,0.008407589535472777,6.703970103847601e-05
2021-09-01 00:00:00,0.0,0.9147336368092547,0.0,0.0741637368488963,0.010637668195402138,1.8406260530597404e-05
2021-10-01 00:00:00,0.0,0.9354560282318511,0.0,0.05981259072915455,0.0033780706801251562,5.228034437663333e-05
2021-11-01 00:00:00,0.0,0.9190812461694557,0.0,0.06931442809674868,0.01155368624040479,5.0639493390846754e-05
2021-12-01 00:00:00,0.0,0.9155463993118843,0.0,0.07436294204144604,0.007461111019315467,0.002629547627354072
2022-01-01 00:00:00,0.0,0.9276372690529717,0.0,0.06546506029591988,0.006827450471496231,7.022017961218098e-05
2022-02-01 00:00:00,0.0,0.9294012337173495,0.0,0.057094919921698864,0.013382576921503792,0.00012126943944782961
2022-03-01 00:00:00,0.0,0.9441133074429728,0.0,0.054195173254914214,0.0015473530148335662,6.893892086249464e-05
2022-04-01 00:00:00,0.0,0.9289491706458853,0.0,0.05693468731996352,0.014063641478944424,5.2500555206700387e-05
2022-05-01 00:00:00,0.0,0.9313115703825444,0.0,0.06323557085471597,0.005430997835911247,2.1860926828611364e-05
2022-06-01 00:00:00,0.0,0.9341560180158415,0.0,0.06175506215424057,0.004012338831213148,7.658099870475548e-05
2022-07-01 00:00:00,0.0,0.9170146978225477,0.0,0.07887572303664185,0.0016204270977821416,0.0023296978749398063
2022-08-01 00:00:00,0.0,0.926277376191861,0.0,0.070964445112212,0.0018369776662679963,0.0009212010296590009
2022-09-01 00:00:00,0.0,0.930514531260399,0.0,0.06678526201904826,0.0013375428911749892,0.001362663829377978
2022-10-01 00:00:00,0.0,0.9330393838106785,0.0,0.0653731912763456,0.0012799025367508346,0.0003075223762249719
2022-11-01 00:00:00,0.0,0.9335342882894412,0.0,0.06642954268559319,0.0,3.6169024965622165e-05
2022-12-01 00:00:00,0.0,0.938151861064667,0.0,0.06040331455164304,0.0013921906785805077,5.26337051095672e-05
2023-01-01 00:00:00,0.0,0.9328625812788027,0.0,0.0625702761213624,0.0036397043578016448,0.00024307561826450197
2023-02-01 00:00:00,0.0,0.9321302785732934,0.0,0.06397874336517517,0.0025226808892375107,6.584803642584073e-05
2023-03-01 00:00:00,0.0,0.9305419102491385,0.0,0.0683743670611452,0.0010436748785903293,4.004781112591558e-05
2023-04-01 00:00:00,0.0,0.9315191693562973,0.0,0.0643169364405345,0.004073078271446242,9.081593172203498e-05
2023-05-01 00:00:00,0.0,0.925211283737765,0.0,0.06966702548033431,0.00271242450067862,0.002409266281222157
2023-06-01 00:00:00,0.0,0.9229544854844207,0.0,0.07697429165835522,0.0,7.122285722427021e-05
2023-07-01 00:00:00,0.0,0.9264760199423441,0.0,0.06886941879339928,0.0045775081779814465,7.705308627513509e-05
2023-08-01 00:00:00,0.0,0.9363780362685814,0.0,0.05953687919322551,0.0038946810993307976,0.0001904034388622039
