Stacker,Mission,Duration_minutes
1,Entry,11.185215053763441
1,Entry-1,4.747777777777778
1,Exit,23.994791666666668
2,Entry,9.3668284789644
2,Exit,22.577651515151516
3,Entry,7.735323383084577
3,Exit,31.729069767441857
5,Entry,10.43
5,Entry-5,7.932142857142857
5,Exit,24.053846153846152
